Administración responsable del Registro;Alta en RGFP;Arqueo GT;CFR;Capacidad del buque no aportable por:;Censo por modalidad;Código;Eslora total;Estado;IMO;IRCS;Imagen;Material del casco;Matrícula;Nombre;Potencia;Puerto base;Tipo de auxiliar
Secretaría General de Pesca;10/05/1989;1,36;ESP000001937;;ARTES MENORES EN EL MEDITERRANEO;1937;7,08 m;Baja Definitiva (desde el 19/04/2007);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1378;Madera;3MH-1-419;MIGUEL;6,62 kW (9,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,66;ESP000054571;;ARTES MENORES EN EL MEDITERRANEO;54571;4,25 m;Baja Definitiva (desde el 13/03/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/17925;Madera;3MH-1-284;MIGUEL LLULL;2,21 kW (3,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;05/07/2023;3,98;ESP000100526;;ARTES MENORES EN EL MEDITERRANEO;100526;8,49 m;Alta Definitiva (desde el 05/07/2023);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22954;Fibra de Vidrio/Plástico;3MH-1-1-23;MIKA;73,53 kW (100,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;3,89;ESP000002979;;ARTES MENORES EN EL MEDITERRANEO;2979;8,40 m;Baja Definitiva (desde el 04/11/1997);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/2083;Madera;3MH-1-445;MOBY DICK;55,16 kW (75,0 CV);73210 - Fornells, ILLES BALEARS;
Illes Balears;07/04/2022;0,85;-;;;100329;4,50 m;Alta Definitiva (desde el 16/11/2022);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22797;Fibra de Vidrio/Plástico;4MH-1-1-21;MOICANO;18,39 kW (25,0 CV);73200 - Mahón, ILLES BALEARS;Auxiliar de cultivos marinos
Illes Balears;22/06/2017;2,24;-;;;58955;6,93 m;Alta Definitiva (desde el 06/10/2022);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/22778;Poliester;4MH-1-1-17;MUSCLERES GONZALEZ;29,41 kW (40,0 CV);73200 - Mahón, ILLES BALEARS;Auxiliar de cultivos marinos
Secretaría General de Pesca;10/05/1989;0,86;ESP000001942;;ARTES MENORES EN EL MEDITERRANEO;1942;0,00 m;Baja Definitiva (desde el 17/12/1998);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1381;Poliester;3MH-1-489;NA BRUTA;16,18 kW (22,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,03;ESP000021068;;ARTES MENORES EN EL MEDITERRANEO;21068;6,08 m;Baja Definitiva (desde el 17/12/1998);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9081;Madera;3MH-1-407;NA MACARET;19,86 kW (27,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;2,43;ESP000014660;;ARTES MENORES EN EL MEDITERRANEO;14660;8,78 m;Alta Definitiva (desde el 10/05/1989);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/21024;Poliester;3MH-1-498;NAN I FRANCESC;31,60 kW (43,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,60;ESP000001944;;ARTES MENORES EN EL MEDITERRANEO;1944;0,00 m;Baja Definitiva (desde el 21/11/1996);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1383;Madera;3MH-1-381;NENI;7,35 kW (10,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/12/1993;2,37;ESP000022699;;ARTES MENORES EN EL MEDITERRANEO;22699;7,61 m;Alta Definitiva (desde el 10/12/1993);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/10520;Poliester;3MH-1-1-93;NEREIDA;22,06 kW (30,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,00;ESP000008259;;-;8259;5,65 m;Baja Definitiva (desde el 30/06/1992);-;-;;Poliester;3MH-1-480;NOEMI;40,45 kW (55,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,11;ESP000001945;;ARTES MENORES EN EL MEDITERRANEO;1945;6,90 m;Baja Definitiva (desde el 02/03/2009);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1384;Madera;3MH-1-217;NUEVE HERMANOS;16,18 kW (22,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;29/06/1992;3,76;ESP000022317;;ARTES MENORES EN EL MEDITERRANEO;22317;9,25 m;Alta Definitiva (desde el 29/06/1992);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/21247;Poliester;3MH-1-520;NUEVO SAN ANTONIO;67,67 kW (92,0 CV);72100 - Ibiza, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;2,43;ESP000014655;;ARTES MENORES EN EL MEDITERRANEO;14655;8,78 m;Alta Definitiva (desde el 10/05/1989);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/7522;Poliester;3MH-1-500;OSCAR;35,67 kW (48,5 CV);73210 - Fornells, ILLES BALEARS;
Illes Balears;04/09/2014;0,76;-;;;27632;4,05 m;Alta Definitiva (desde el 30/03/2023);-;-;;-;4MH-1-1-14;OTILIO EL NAVEGANTE;55,16 kW (75,0 CV);73200 - Mahón, ILLES BALEARS;Auxiliar de cultivos marinos
Secretaría General de Pesca;10/05/1989;0,00;ESP000001029;;-;1029;6,00 m;Baja Definitiva (desde el 31/12/1991);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/748;Poliester;3MH-1-162;PAQUITO;8,09 kW (11,0 CV);73100 - Ciudadela, ILLES BALEARS;
Secretaría General de Pesca;24/10/2003;68,18;ESP000025726;;ARRASTRE DE FONDO EN EL MEDITERRANEO;25726;20,00 m;Alta Definitiva (desde el 24/10/2003);-;EA7123;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/21536;Madera;3MH-1-1-03;PITO QUINTANA F;119,10 kW (161,9 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;23/04/2009;3,21;ESP000027269;;ARTES MENORES EN EL MEDITERRANEO;27269;9,24 m;Alta Definitiva (desde el 15/06/2009);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/15026;Poliester;3MH-1-1-09;PLAYA CANUTELLS;60,30 kW (82,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,50;ESP000008279;;ARTES MENORES EN EL MEDITERRANEO;8279;7,08 m;Baja Definitiva (desde el 13/01/2020);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/5344;Madera;3MH-1-422;POLAR;24,27 kW (33,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,60;ESP000001950;;ARTES MENORES EN EL MEDITERRANEO;1950;5,13 m;Baja Definitiva (desde el 18/09/2000);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1389;Poliester;3MH-1-479;PORTO FUST;4,41 kW (6,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,59;ESP000001947;;ARTES MENORES EN EL MEDITERRANEO;1947;5,10 m;Baja Definitiva (desde el 10/03/2021);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1386;Poliester;3MH-1-490;RAUL;6,62 kW (9,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,69;ESP000001948;;ARTES MENORES EN EL MEDITERRANEO;1948;5,42 m;Baja Definitiva (desde el 05/10/2017);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1387;Poliester;3MH-1-461;REX MARIUM;16,18 kW (22,0 CV);72200 - San Antonio Abad, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,95;ESP000013361;;ARTES MENORES EN EL MEDITERRANEO;13361;0,00 m;Baja Definitiva (desde el 13/03/2001);-;-;;Madera;3MH-1-322;REYNES ORPIS;4,41 kW (6,0 CV);73200 - Mahón, ILLES BALEARS;
