sources;port_name;coordinates;locode;country_region;fao_areas
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Kirykos Ikarias;37.614,26.296,0.000001;GRAGK;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Konstantinos Fthiotidas;38.774,22.831,0.000001;GRAKO;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Kírykos;37.61666667,26.3,0.000001;GRAKI;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Nikolaos (Anafi);36.344,25.768,0.000001;GRANA;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Nikolaos (Lasithiou);35.214,25.728,0.000001;GRANL;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Nikolaos (Messinias);36.49,22.16,0.000001;GRANM;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Nikolaos, Lasithi;38.376,22.633,0.000001;GRANK;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Nikolaos, Volimon;38.156,20.768,0.000001;GRANV;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Stefanos (Avlioton);39.45,19.38,0.000001;GRASA;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Stefanos Corfu;39.76666667,19.95,0.000001;GRASF;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agistri Aiginas;37.71666667,23.35,0.000001;GRAGG;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agnontas Skopelou;39.083,23.711,0.000001;GRAGD;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agon-Coutainville;49.0405483,-1.5855227,0.000001;FRAOV;FR - 50;{27.7.e}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agrinion;38.63333333,21.41666667,0.000001;GRAGQ;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agropoli;40.35,14.983333,0.000001;ITAGP;IT;{37.1.3}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aguda;41.03333333,-8.65,0.000001;PTAGD;PT;{27.9.a}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agugliano;43.55,13.38333333,0.000001;ITAUO;IT;{37.2.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db,WPI;Aguilas;37.400000,-1.566667,0.000001;ESAGU;Spain - Spain SE Coast -- 38340;{37.1.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahaus;;DEAHA;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahe;-14.4333333333333,-146.25,0.000001;PFAHE;PF;{77}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aheloy;42.636667,27.652222,0.000001;BGAHE;BG;{37.4.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahlbeck;53.94333333,14.19333333,0.000001;DEAHC;DE;{27.3.d.24}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahlen;51.75,7.916666667,0.000001;DEAHL;DE;{27.4.c}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahoi Jõesadam;58.21666667,22.36666667,0.000001;EEAHO;EE;{27.3.d.28.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahorntal;49.85,11.4333333333333,0.000001;DEA6H;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahrensburg;;DEAHR;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahrenshoop-Althagen;54.381,12.421,0.000001;DEAAN;DE;{27.3.d.24}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahrenshöft;;DEASH;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Ahunapalu;58.325,27.28555556,0.000001;EEAHU;EE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db,WPI;Ahus;55.927500,14.328056,0.000001;SEAHU;Sweden - Sweden -- 23860;{27.3.d.25}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aichach;;DEAIC;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aichtal;48.61666667,9.25,0.000001;DEAIL;DE;
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aidipsos;38.849,23.038,0.000001;GRAID;GR;{37.3.1}
