PUERTO BASE;AÑO;NUM_BARCOS
Camariñas;2023;78
Camariñas;2024;78
Camariñas;2025;78
Cambados;2006;355
Cambados;2007;344
Cambados;2008;245
Cambados;2009;245
Cambados;2010;253
Cambados;2011;251
Cambados;2012;241
Cambados;2013;237
Cambados;2014;239
Cambados;2015;236
Cambados;2016;234
Cambados;2017;229
Cambados;2018;223
Cambados;2019;222
Cambados;2020;218
Cambados;2021;217
Cambados;2022;214
Cambados;2023;213
Cambados;2024;215
Cambados;2025;213
Cambrils;2006;47
Cambrils;2007;46
Cambrils;2008;46
Cambrils;2009;44
Cambrils;2010;41
Cambrils;2011;39
Cambrils;2012;36
Cambrils;2013;37
Cambrils;2014;32
Cambrils;2015;31
Cambrils;2016;26
Cambrils;2017;25
Cambrils;2018;25
Cambrils;2019;24
Cambrils;2020;24
Cambrils;2021;22
Cambrils;2022;22
Cambrils;2023;20
Cambrils;2024;20
Cambrils;2025;15
Camelle;2006;96
Camelle;2007;91
Camelle;2008;73
Camelle;2009;71
Camelle;2010;69
Camelle;2011;62
Camelle;2012;58
Camelle;2013;53
Camelle;2014;52
Camelle;2015;49
Camelle;2016;48
Camelle;2017;48
Camelle;2018;46
Camelle;2019;42
Camelle;2020;41
Camelle;2021;41
Camelle;2022;42
Camelle;2023;39
Camelle;2024;39
Camelle;2025;40
Campello;2006;14
Campello;2007;14
Campello;2008;13
Campello;2009;11
Campello;2010;11
Campello;2011;11
Campello;2012;14
Campello;2013;14
Campello;2014;12
Campello;2015;12
Campello;2016;11
Campello;2017;11
Campello;2018;10
Campello;2019;8
Campello;2020;8
Campello;2021;7
Campello;2022;7
Campello;2023;7
Campello;2024;7
Campello;2025;6
Campelo;2006;50
Campelo;2007;49
Campelo;2008;43
Campelo;2009;43
Campelo;2010;41
Campelo;2011;37
Campelo;2012;37
Campelo;2013;37
Campelo;2014;38
Campelo;2015;32
Campelo;2016;36
Campelo;2017;37
Campelo;2018;35
Campelo;2019;36
Campelo;2020;35
Campelo;2021;32
Campelo;2022;31
Campelo;2023;31
Campelo;2024;31
Campelo;2025;31
Candas;2006;13
Candas;2007;9
Candas;2008;8
Candas;2009;8
Candas;2010;6
Candas;2011;5
Candas;2012;6
Candas;2013;6
